epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.49568,2.3114632595062257,0.001,0.81086,0.92434,0.5328,1.7903104871749878,0.8631,0.9527
1,0.63002,1.4587325952911376,0.001,0.89256,0.96366,0.619,1.4699872467041015,0.8861,0.9651
2,0.68616,1.2471397424697876,0.001,0.91778,0.97598,0.6462,1.3556210319519042,0.9098,0.9726
3,0.72876,1.1121935018539428,0.001,0.9345,0.9811,0.671,1.3628078352928161,0.9146,0.9721
4,0.75376,1.0229963096237182,0.001,0.94258,0.9848,0.7121,1.1630705646038055,0.929,0.979
5,0.77144,0.9556814133071899,0.001,0.9497,0.98648,0.6911,1.2605723798751831,0.9329,0.9834
6,0.78584,0.9046417461013794,0.001,0.95372,0.98816,0.7442,1.0422379930496215,0.9437,0.9831
7,0.7981,0.862896586933136,0.001,0.95682,0.98898,0.7742,0.9797444557666779,0.9473,0.9847
8,0.80834,0.824825856513977,0.001,0.96218,0.99056,0.7173,1.1631080931663513,0.9225,0.9759
9,0.81706,0.7931129326438904,0.001,0.96368,0.99068,0.7834,0.8943840298652649,0.9569,0.9886
10,0.8263,0.7639501485443115,0.001,0.96564,0.99196,0.7686,0.9296730643749237,0.9539,0.99
11,0.8276,0.7455607655334473,0.001,0.9672,0.99206,0.7697,0.9282709724426269,0.9454,0.9857
12,0.83774,0.7175191975212097,0.001,0.96974,0.99236,0.8041,0.822086988210678,0.9579,0.9897
13,0.83982,0.7038849221611023,0.001,0.9716,0.99264,0.8128,0.7903433507442474,0.9606,0.9917
14,0.8426,0.6908478986644745,0.001,0.97198,0.9934,0.8177,0.7817229066848755,0.9622,0.9916
15,0.85016,0.6679182622718811,0.001,0.97346,0.99372,0.8159,0.7866627662658692,0.9599,0.9879
16,0.85354,0.654647656173706,0.001,0.97428,0.99394,0.7593,0.936077311706543,0.9544,0.9902
