epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.49714,2.055838184814453,0.001,0.81114,0.9239,0.5606,1.6882821761131286,0.8714,0.9568
1,0.64066,1.4020045206451417,0.001,0.89392,0.96618,0.6278,1.4456395055770874,0.894,0.9642
2,0.69942,1.1875688998413085,0.001,0.92214,0.97726,0.6459,1.332832131099701,0.9049,0.973
3,0.7359,1.0652322778892518,0.001,0.93614,0.98194,0.7509,1.0405718343257904,0.9332,0.9808
4,0.7584,0.9890742088317871,0.001,0.94406,0.9843,0.7624,0.9572097863674164,0.9476,0.9857
5,0.7766,0.9289444460105896,0.001,0.95014,0.98694,0.7389,1.0578051079750062,0.9354,0.9791
6,0.78828,0.8787661905670165,0.001,0.95404,0.98858,0.7567,0.9986064101219178,0.9424,0.9813
7,0.80066,0.8412015365982055,0.001,0.95816,0.98864,0.7588,0.9641988564491272,0.9494,0.9847
8,0.80952,0.8076995963478089,0.001,0.96242,0.98994,0.7936,0.8660938773155212,0.9556,0.9881
9,0.81548,0.7858190552902221,0.001,0.96352,0.99082,0.7689,0.9653875652313233,0.9417,0.9814
10,0.82534,0.754191850566864,0.001,0.96682,0.99176,0.786,0.9132682346343994,0.9551,0.9891
11,0.83088,0.7365823435401917,0.001,0.96746,0.9924,0.8091,0.8190634644508362,0.9627,0.9906
12,0.83956,0.7090115316581727,0.001,0.96936,0.9929,0.8216,0.7759407752990722,0.9653,0.9904
13,0.84228,0.6989033334922791,0.001,0.97214,0.9931,0.8114,0.8096709474563598,0.9595,0.9877
14,0.84666,0.6840602331256866,0.001,0.97194,0.99314,0.8007,0.874850425863266,0.9521,0.9853
15,0.85134,0.6690964517974853,0.001,0.9727,0.99324,0.783,0.9215942468643189,0.9581,0.989
16,0.8544,0.6522594682502747,0.001,0.97548,0.99444,0.8215,0.7878262328624726,0.9627,0.991
17,0.8585,0.6425182423591613,0.0003162278,0.97516,0.9944,0.8022,0.8416543134689332,0.9684,0.9939
18,0.85958,0.6358240936088562,0.001,0.97552,0.99486,0.7832,0.8891629158020019,0.9533,0.9886
19,0.86342,0.6231359644508362,0.001,0.97682,0.99458,0.7945,0.8895068006515503,0.9591,0.9895
20,0.86268,0.6171104151821136,0.001,0.97808,0.99544,0.7922,0.9255256175041199,0.9509,0.9855
21,0.86474,0.6111466183662414,0.001,0.97856,0.99594,0.7698,1.046029523897171,0.9405,0.9844
22,0.87206,0.5958158020973205,0.0003162278,0.9792,0.99554,0.7891,0.9114473199844361,0.9512,0.9895
23,0.87256,0.5911209246349335,0.001,0.97918,0.99498,0.8002,0.8803377113342286,0.9525,0.9853
24,0.87388,0.5812809187793732,0.001,0.9806,0.99572,0.8396,0.7012370433807373,0.9696,0.9911
25,0.87514,0.5800907835197449,0.001,0.97982,0.99564,0.8161,0.7822128438472747,0.9661,0.9928
26,0.87792,0.5696751250267029,0.001,0.98148,0.99606,0.7489,1.038379508495331,0.9429,0.9857
27,0.87946,0.569690239944458,0.001,0.98114,0.99542,0.8555,0.6432184723377228,0.9762,0.995
28,0.88336,0.5594573832130432,0.001,0.98224,0.99622,0.8356,0.7309902448415756,0.9679,0.9928
29,0.88422,0.5532871545410156,0.001,0.98206,0.99576,0.8381,0.7197603085517883,0.9735,0.9944
30,0.8835,0.5501610464668274,0.001,0.98382,0.99664,0.854,0.6490905015468598,0.9782,0.995
31,0.88434,0.5477455524158478,0.001,0.98294,0.99666,0.8069,0.817108285188675,0.9601,0.9888
32,0.88748,0.539127213344574,0.0003162278,0.98332,0.99656,0.8443,0.6904372260093689,0.9669,0.9914
33,0.88844,0.535903337020874,0.001,0.9836,0.99676,0.8308,0.7547432356834411,0.9623,0.9891
34,0.8904,0.5292809178543091,0.001,0.98392,0.99678,0.8551,0.6555493676185608,0.9698,0.9909
35,0.89092,0.5297429625129699,0.001,0.98348,0.99668,0.8538,0.6406104333400726,0.9747,0.9952
36,0.89312,0.5227340272235871,0.001,0.9837,0.9967,0.8537,0.6788643874406814,0.9716,0.9925
37,0.89318,0.5207583595180512,0.001,0.98504,0.9968,0.8686,0.5870245231389999,0.9797,0.9956
38,0.89202,0.5191502470970154,0.001,0.98438,0.99698,0.8515,0.6751847288608551,0.9753,0.9948
