epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.46858,1.699494284095764,0.001,0.79242,0.91338,0.6052,1.3247243265151978,0.8819,0.9598
1,0.63476,1.2532614694595337,0.001,0.88964,0.96342,0.6253,1.3124371282577514,0.8924,0.9628
2,0.7008,1.0687147275161744,0.001,0.92106,0.9754,0.6722,1.1938022996425628,0.893,0.9636
3,0.73796,0.9596339321708679,0.001,0.93678,0.98208,0.726,1.0187378900527955,0.932,0.982
4,0.76418,0.886941826248169,0.001,0.94638,0.98548,0.7072,1.0831865937232972,0.9288,0.9818
5,0.78326,0.8396244474983215,0.001,0.95166,0.9867,0.7607,0.9119073506355285,0.9428,0.9857
6,0.79604,0.796277910041809,0.001,0.95634,0.98812,0.7784,0.8573850638389587,0.9509,0.9852
7,0.8063,0.7676122223091125,0.001,0.9594,0.98992,0.7483,1.0258723162174226,0.9228,0.9725
8,0.81634,0.7407066142082215,0.001,0.96318,0.99026,0.7146,1.0454291530132294,0.9352,0.9844
9,0.82588,0.7150655319213867,0.001,0.96564,0.99162,0.8049,0.7879700706958771,0.9539,0.989
10,0.8316,0.6961765397262574,0.001,0.96754,0.99154,0.706,1.15345828332901,0.9214,0.9778
11,0.83712,0.6828133872032166,0.001,0.96842,0.99222,0.7876,0.8363439396381378,0.9581,0.9899
12,0.84356,0.6647305862617493,0.001,0.9698,0.9927,0.8178,0.7713597305774689,0.9614,0.9912
13,0.84922,0.6466950854492187,0.001,0.97222,0.99284,0.8007,0.8262458337306976,0.949,0.9832
14,0.85214,0.6371394543266297,0.001,0.97496,0.9939,0.8189,0.7596626094341278,0.962,0.987
15,0.85724,0.6268008073806762,0.001,0.97446,0.99414,0.8396,0.702313111782074,0.9696,0.9915
16,0.86144,0.6158296628952027,0.001,0.97548,0.9942,0.8266,0.7414073626518249,0.9577,0.9885
17,0.86472,0.60897294921875,0.001,0.97636,0.99408,0.8038,0.8168966940879822,0.9576,0.9868
18,0.86596,0.5999523994255066,0.001,0.97756,0.99458,0.8209,0.7515424151897431,0.9593,0.9889
19,0.8705,0.5878043939971924,0.001,0.97796,0.99516,0.8062,0.8029451988697052,0.9608,0.9911
20,0.874,0.5781975693893433,0.0003162278,0.97962,0.99532,0.8233,0.7757223388195038,0.9671,0.9927
21,0.87662,0.5769276604652405,0.001,0.97982,0.99548,0.8102,0.7949477504014969,0.9553,0.9838
22,0.8769,0.5681911680793762,0.001,0.98018,0.99564,0.8349,0.7254728062152862,0.9691,0.9927
23,0.87904,0.5665645574188233,0.001,0.98098,0.99592,0.8536,0.6447886120080948,0.9763,0.9937
24,0.88002,0.5626347751998901,0.001,0.9819,0.99582,0.8101,0.7865817945480347,0.957,0.9904
25,0.88228,0.5582419240283966,0.001,0.9816,0.9962,0.8106,0.8376903071880341,0.9631,0.9909
26,0.88176,0.5550959698867798,0.001,0.9823,0.9962,0.8261,0.7532926013946534,0.9656,0.9901
27,0.88566,0.5481193534851074,0.001,0.98234,0.99626,0.8481,0.6713761385440826,0.9696,0.9929
28,0.88808,0.5426787335300446,0.0003162278,0.98278,0.9962,0.7999,0.8243284122467041,0.9589,0.9894
29,0.88756,0.5421109129142762,0.001,0.98432,0.99688,0.8237,0.7659904744148255,0.9683,0.9918
30,0.89086,0.5352917458057403,0.001,0.9835,0.99662,0.8528,0.6762278645515442,0.9665,0.9905
31,0.89078,0.534129434223175,0.001,0.9837,0.99662,0.8231,0.7715080472707748,0.9676,0.9906
32,0.89062,0.5320890310192108,0.001,0.98464,0.99682,0.8224,0.7855369193792343,0.9618,0.9902
33,0.89478,0.5263318064022064,0.0003162278,0.98486,0.99646,0.8393,0.6982458785772324,0.9718,0.9936
34,0.89352,0.5243594902324676,0.001,0.98508,0.9967,0.8536,0.6712051930427552,0.9717,0.9933
