epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.4742,1.6007846440124511,0.001,0.79408,0.91592,0.5463,1.454499852848053,0.8477,0.9521
1,0.63366,1.1858046524429322,0.001,0.89106,0.96424,0.6516,1.1717797910690309,0.8921,0.9586
2,0.69928,1.018798816318512,0.001,0.91978,0.97528,0.6744,1.0932915934562684,0.9199,0.9768
3,0.7353,0.9180418992614746,0.001,0.9349,0.98116,0.7298,0.9533682688713073,0.9378,0.9826
4,0.759,0.8547175339317322,0.001,0.94294,0.98424,0.7548,0.8717967321395874,0.944,0.9857
5,0.77688,0.8115067139625549,0.001,0.9487,0.98568,0.7175,1.0171862576961517,0.9353,0.9812
6,0.7894,0.7761355336952209,0.001,0.95416,0.98782,0.7294,0.9921490746974945,0.9261,0.9843
7,0.80298,0.7453274061584473,0.001,0.95726,0.98852,0.7751,0.8292958478689194,0.9487,0.9851
8,0.81148,0.7218595955085755,0.001,0.9611,0.98956,0.8148,0.7324828013420105,0.9597,0.9889
9,0.81974,0.698530547542572,0.001,0.96292,0.99054,0.795,0.7874928798675537,0.9544,0.989
10,0.82652,0.6793292492675781,0.001,0.96578,0.99146,0.7915,0.8036892473697662,0.9502,0.985
11,0.83038,0.6658892946529389,0.001,0.96848,0.99238,0.8098,0.7461876544952393,0.9545,0.987
12,0.8404,0.6451948328590393,0.001,0.97004,0.99266,0.8046,0.7636377557277679,0.9636,0.9891
13,0.84116,0.6354167790794373,0.0003162278,0.97022,0.99284,0.7992,0.7737021291255951,0.9624,0.9905
14,0.84694,0.6280153386306763,0.001,0.9716,0.9934,0.7918,0.8347949365615844,0.9532,0.9865
15,0.85128,0.6189253211784362,0.001,0.97292,0.9931,0.8174,0.7405150928974151,0.9629,0.9903
16,0.8547,0.6076701975631714,0.001,0.97352,0.9938,0.8488,0.6394361571788788,0.9695,0.9913
17,0.85874,0.5969241205120087,0.001,0.97498,0.99428,0.8031,0.7770466192722321,0.9608,0.991
18,0.86246,0.5883534753417968,0.001,0.97622,0.99504,0.8087,0.758692821264267,0.9605,0.9903
19,0.86378,0.5831898965644836,0.001,0.97652,0.99446,0.8135,0.767519912314415,0.9603,0.987
