epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.32438,3.2563186094665526,0.001,0.6611,0.82992,0.3554,2.8792157497406006,0.7325,0.8986
1,0.46152,2.4114329725646972,0.001,0.79248,0.91336,0.4941,2.1949638076782225,0.8207,0.9296
2,0.5488,1.983561449432373,0.001,0.84496,0.9428,0.5736,1.8949160022735596,0.8586,0.9484
3,0.62426,1.6559036544036865,0.001,0.88266,0.95966,0.5726,1.836470936203003,0.8333,0.9465
4,0.66944,1.435357335319519,0.001,0.9047,0.96944,0.6702,1.4319513504981995,0.9064,0.9652
5,0.70274,1.2834539503860474,0.001,0.91946,0.9755,0.6537,1.4932756846427917,0.8672,0.9435
6,0.7261,1.1803299144744872,0.001,0.92916,0.97828,0.6328,1.4725325904846192,0.8952,0.968
7,0.7449,1.0933017963027953,0.001,0.9361,0.98112,0.707,1.2267678247451783,0.9182,0.9796
8,0.7605,1.028940040473938,0.001,0.94184,0.98348,0.663,1.407549866104126,0.8943,0.9695
9,0.77402,0.9710946346664429,0.001,0.94658,0.98488,0.6836,1.2954600191116332,0.9114,0.9741
10,0.78476,0.9299675631141663,0.001,0.95078,0.98616,0.7821,0.9397163043498993,0.9507,0.9857
11,0.7986,0.885647826423645,0.001,0.95566,0.98796,0.6942,1.2520728879928589,0.9234,0.9771
12,0.80574,0.8524920950508118,0.001,0.95938,0.98966,0.7262,1.0991030052661896,0.9292,0.9765
13,0.81346,0.8269458110237121,0.001,0.96242,0.9902,0.6848,1.31935677318573,0.9078,0.9671
14,0.82362,0.7987285789108276,0.001,0.96496,0.9904,0.7493,1.0462607211112975,0.9191,0.9705
15,0.82726,0.7817499271392823,0.0003162278,0.96476,0.99094,0.7058,1.194898323059082,0.9315,0.9796
16,0.83328,0.7600364294052124,0.001,0.9669,0.99176,0.6152,1.657295556640625,0.9074,0.9658
17,0.83806,0.746446339931488,0.001,0.968,0.99252,0.7382,1.1011364171028137,0.9245,0.9742
18,0.84264,0.7278581979751587,0.001,0.97066,0.9928,0.7407,1.1089935482025146,0.9002,0.9555
19,0.8484,0.7111724996185302,0.001,0.97126,0.99308,0.7271,1.1778563905715942,0.9239,0.9729
20,0.8517,0.6983339187622071,0.0003162278,0.97376,0.99318,0.6386,1.6339138113021852,0.8951,0.9719
21,0.85706,0.6868189151954651,0.001,0.97478,0.99416,0.7793,0.9805058475971222,0.9394,0.978
22,0.85902,0.6796111531448364,0.001,0.97428,0.99396,0.7895,0.9085753179073334,0.9497,0.9833
23,0.8613,0.6706727297782898,0.001,0.97528,0.9939,0.7462,1.0835428404808045,0.9242,0.9709
24,0.86552,0.655027633972168,0.001,0.97786,0.99456,0.7954,0.8903257959365845,0.9511,0.9862
25,0.86822,0.6428005677890778,0.001,0.97908,0.995,0.7991,0.8834716186523438,0.9533,0.9855
26,0.8708,0.6385923213005066,0.001,0.97896,0.99552,0.7967,0.9087922264575958,0.9507,0.9863
27,0.87242,0.6285151970100403,0.001,0.9798,0.99546,0.7536,0.9660123332977295,0.9474,0.9869
28,0.87504,0.620129596157074,0.001,0.98086,0.99574,0.8086,0.8314286045074463,0.9606,0.9897
29,0.87852,0.6141055456924438,0.001,0.98006,0.9961,0.6948,1.447043460893631,0.9089,0.9738
30,0.88038,0.6078651119422913,0.001,0.98154,0.99586,0.8216,0.8070549685001374,0.9579,0.9871
31,0.88302,0.5995293981170654,0.001,0.9825,0.99634,0.8186,0.8140862011432648,0.9604,0.9902
32,0.88132,0.601865881690979,0.001,0.98158,0.9959,0.7999,0.901989706993103,0.959,0.9877
33,0.88296,0.5947880341815949,0.001,0.98208,0.99612,0.8464,0.7271148796081544,0.9718,0.9922
34,0.88648,0.5887544270706176,0.001,0.98234,0.9965,0.8082,0.8579450100898742,0.9516,0.9851
35,0.88746,0.5792690827941894,0.001,0.98372,0.9967,0.7985,0.8495947377681732,0.9567,0.9881
36,0.88848,0.5777278276443482,0.001,0.9835,0.99644,0.8242,0.7641649515151977,0.9623,0.9901
37,0.8886,0.5773995380306244,0.001,0.98384,0.99656,0.7002,1.3603036685943604,0.8731,0.9396
38,0.89182,0.5672747156524658,0.0003162278,0.98442,0.99674,0.7763,0.9565847390651703,0.9591,0.989
39,0.8946,0.5604186840248108,0.001,0.98428,0.9968,0.7366,1.1023271169185638,0.949,0.9868
40,0.89524,0.5591827290916442,0.001,0.98434,0.99698,0.8223,0.812729247045517,0.9654,0.9899
41,0.89482,0.5548428468704224,0.001,0.98468,0.99686,0.8288,0.7832161554336547,0.9623,0.9906
42,0.89644,0.555562656841278,0.001,0.9847,0.99678,0.8211,0.856529701089859,0.9523,0.9849
43,0.8962,0.5523378752040863,0.0003162278,0.98502,0.99678,0.8427,0.7406934885978699,0.9687,0.9908
44,0.89758,0.5515667743110657,0.001,0.98564,0.99726,0.8362,0.7638854476451874,0.9682,0.9915
45,0.89694,0.5486510523796082,0.001,0.98598,0.9975,0.8515,0.7197835615158081,0.9721,0.9935
46,0.90032,0.5407007958889007,0.001,0.9859,0.99744,0.8369,0.7675097284793854,0.9707,0.9919
47,0.89866,0.5376558749389648,0.001,0.98664,0.99726,0.8297,0.7790902798652649,0.9686,0.9937
48,0.90108,0.53230416847229,0.001,0.98706,0.9976,0.8401,0.7478589813232421,0.9697,0.9923
49,0.90018,0.5345165574359894,0.001,0.98742,0.99756,0.8389,0.7365255868434906,0.9701,0.9928
