epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.48442,1.7536229274749755,0.001,0.80008,0.91802,0.5443,1.7601752449035644,0.8056,0.9099
1,0.64964,1.2636749133491516,0.001,0.8987,0.96662,0.5495,1.698294811820984,0.8399,0.9475
2,0.70752,1.0863870011901855,0.001,0.9224,0.97648,0.7114,1.0611329389572144,0.9278,0.9803
3,0.7384,0.9833342790412903,0.001,0.93696,0.98172,0.7168,1.058231220817566,0.9277,0.9783
4,0.76128,0.9186186663627625,0.001,0.94304,0.98428,0.7659,0.9114723970890045,0.9455,0.984
5,0.7794,0.8701552026367187,0.001,0.94924,0.98604,0.7316,1.032559850025177,0.9284,0.9761
6,0.7922,0.8268544249725341,0.001,0.95454,0.98818,0.7848,0.8530876135826111,0.9528,0.9874
7,0.80338,0.7943827024459839,0.001,0.95778,0.98902,0.7944,0.8115087719917298,0.9567,0.9876
8,0.8116,0.7675210282516479,0.001,0.96134,0.98972,0.7929,0.8337553686618805,0.9519,0.9842
9,0.8204,0.7460273279953002,0.001,0.96368,0.99042,0.7751,0.890077352142334,0.9451,0.9842
10,0.82746,0.7214828893089295,0.001,0.96632,0.99168,0.8126,0.7678006685256958,0.9626,0.9892
11,0.83296,0.7066785771560669,0.001,0.96784,0.9919,0.816,0.7634646079540253,0.9627,0.9895
12,0.83974,0.6859744131469726,0.001,0.96986,0.99242,0.7785,0.8956881839513778,0.9458,0.9853
13,0.84332,0.6738332913780213,0.001,0.97194,0.9932,0.8203,0.7560132694244385,0.9662,0.9913
14,0.84796,0.656424049987793,0.001,0.9736,0.99362,0.8366,0.7048916428089141,0.9673,0.992
15,0.85134,0.6494560295677185,0.001,0.97412,0.99398,0.8224,0.7581482589244842,0.9594,0.9869
16,0.85556,0.6367220629501342,0.001,0.97474,0.9943,0.7748,0.9067351044178009,0.9559,0.9888
17,0.86022,0.6256888869667053,0.001,0.97554,0.99388,0.8501,0.6530997421264648,0.9721,0.9939
18,0.86498,0.6158630591201782,0.001,0.97564,0.9941,0.7938,0.8770216917037964,0.9464,0.9835
19,0.86572,0.6116231204986572,0.001,0.9769,0.9946,0.8065,0.828074746799469,0.9561,0.9885
20,0.8694,0.5993578689193726,0.001,0.97844,0.99552,0.8247,0.7462176743030549,0.9621,0.9914
21,0.87042,0.5956539705848694,0.001,0.9785,0.99572,0.8117,0.8276514111042023,0.9601,0.9862
22,0.87444,0.5902893226146698,0.0003162278,0.9798,0.99572,0.8194,0.784802234840393,0.9588,0.9888
23,0.87816,0.5796216770362854,0.001,0.97934,0.99582,0.844,0.6971056522846222,0.9713,0.9931
24,0.87652,0.5785097206497193,0.001,0.98006,0.99574,0.835,0.7065826461791992,0.9703,0.9922
25,0.87824,0.5722738074874878,0.001,0.98148,0.99632,0.8516,0.662568815779686,0.9708,0.9926
26,0.8808,0.5647977906608581,0.001,0.9816,0.99644,0.845,0.6975618929386139,0.9714,0.9919
27,0.8845,0.5556839278697967,0.0003162278,0.98218,0.99604,0.8515,0.6783594881772995,0.9716,0.9925
28,0.8858,0.5583790879154206,0.001,0.9823,0.99612,0.8348,0.7324811120510102,0.9667,0.9903
29,0.8869,0.5492626943206788,0.001,0.98208,0.99632,0.8455,0.6802848030090332,0.9739,0.9932
30,0.89024,0.5426698269653321,0.001,0.98366,0.99648,0.8308,0.7371639791965484,0.9685,0.9908
31,0.88792,0.5467418810749054,0.001,0.98392,0.99698,0.8666,0.6189205883741379,0.9767,0.9943
32,0.8911,0.5377871565246582,0.001,0.98442,0.99684,0.8252,0.7988477505207062,0.9638,0.9892
33,0.89114,0.540312433643341,0.001,0.98374,0.9967,0.8474,0.6945646536350251,0.9716,0.994
34,0.89174,0.5341138758468628,0.001,0.98432,0.9966,0.8495,0.6685103180885315,0.9692,0.9913
35,0.89504,0.53145409491539,0.001,0.98446,0.99648,0.8515,0.7069379384994506,0.9703,0.9929
36,0.89612,0.5253076966667175,0.0003162278,0.9849,0.99676,0.8262,0.7841289238929748,0.9648,0.9916
37,0.89758,0.523604084482193,0.001,0.98456,0.9965,0.8382,0.7278001394748688,0.9688,0.9909
38,0.89688,0.5251429870414734,0.001,0.98452,0.99684,0.8343,0.7257924794912338,0.9733,0.9938
39,0.89772,0.5228923129653931,0.001,0.98548,0.9969,0.8602,0.6376463247776032,0.9759,0.9936
40,0.90006,0.5142513145160675,0.001,0.98642,0.99716,0.8277,0.8317724952220916,0.9698,0.9904
41,0.89894,0.5188578361415863,0.0003162278,0.98552,0.99724,0.8207,0.7936044600486756,0.9556,0.9863
42,0.90038,0.5138179520988464,0.001,0.98608,0.99714,0.8472,0.7128664428710938,0.9671,0.9895
43,0.90054,0.5097029200935363,0.001,0.98672,0.99716,0.8354,0.7385138966560364,0.9717,0.9917
44,0.9025,0.5102006181526184,0.001,0.98682,0.99724,0.8393,0.7163891766548157,0.9667,0.9888
45,0.9029,0.5074434139537811,0.001,0.98726,0.99732,0.825,0.785277289557457,0.9646,0.9926
46,0.90172,0.5059496568584442,0.0003162278,0.987,0.9973,0.8573,0.6722472112417222,0.9689,0.9916
47,0.90432,0.5022962239170075,0.001,0.9872,0.99746,0.8379,0.738962823677063,0.9673,0.991
48,0.90384,0.5016859486961365,0.001,0.98754,0.9975,0.8418,0.7112773701906204,0.9681,0.9917
49,0.9057,0.49947774482727053,0.001,0.9878,0.99766,0.854,0.6826604316949845,0.9738,0.9936
50,0.90774,0.49459545559883117,0.001,0.98782,0.99778,0.869,0.6186238518714905,0.9771,0.9955
51,0.90566,0.49887533869743345,0.001,0.98744,0.9973,0.8508,0.7107346689462661,0.9701,0.993
52,0.90682,0.4940066122531891,0.001,0.988,0.99778,0.8535,0.6691831685066223,0.9751,0.9957
53,0.9092,0.4881354762458801,0.001,0.98746,0.99742,0.8426,0.7302260678291321,0.9668,0.9889
54,0.90732,0.4894190030860901,0.001,0.98812,0.99774,0.8488,0.6939875931501388,0.9715,0.9924
55,0.90792,0.48901200057983396,0.0003162278,0.98786,0.998,0.8308,0.7762436872005463,0.9629,0.9872
56,0.90972,0.48532187602043153,0.001,0.98852,0.9978,0.8492,0.6828914357662201,0.9743,0.9938
57,0.90858,0.48832142731666567,0.001,0.98824,0.99788,0.8044,0.8288204505443573,0.9594,0.9901
58,0.91062,0.4836774725151062,0.001,0.98914,0.99812,0.862,0.6665944820642471,0.9754,0.9942
59,0.91168,0.4834398847770691,0.001,0.98838,0.99768,0.8683,0.6352074193239212,0.9729,0.9928
60,0.91162,0.4794309841918945,0.0003162278,0.98868,0.99792,0.8559,0.6735722811698913,0.9704,0.9924
61,0.91216,0.47721734231948854,0.001,0.9892,0.99758,0.8627,0.6552633378505707,0.9725,0.9935
62,0.91272,0.47637527893066406,0.001,0.98908,0.99792,0.8175,0.8461026350021362,0.9641,0.9895
