epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.49692,1.5440927392959596,0.001,0.81342,0.92614,0.5442,1.4682052069664002,0.8384,0.9414
1,0.64914,1.1486563092803954,0.001,0.89984,0.96674,0.6312,1.24026243891716,0.8863,0.9658
2,0.70758,0.9969763739776611,0.001,0.92486,0.97614,0.6991,1.0490822312831878,0.918,0.9753
3,0.74366,0.9033733443450928,0.001,0.9362,0.98186,0.7254,0.9573850609302521,0.9409,0.9834
4,0.76352,0.8451907771110535,0.001,0.94518,0.98514,0.7556,0.8901593524932861,0.9415,0.9822
5,0.78084,0.8057450839424133,0.001,0.95114,0.98662,0.7553,0.8773205200195312,0.9466,0.9868
6,0.7967,0.7688078170776367,0.001,0.95578,0.98776,0.79,0.7996215286016464,0.9539,0.9889
7,0.80796,0.7358391032791137,0.001,0.96038,0.9896,0.785,0.8329646139144897,0.9543,0.9854
8,0.81516,0.7169790018749237,0.001,0.96088,0.9907,0.8101,0.7317974677562714,0.9619,0.9895
9,0.82336,0.6969922078323364,0.001,0.96404,0.99076,0.8152,0.7273994611740112,0.9635,0.9915
10,0.83014,0.6748098179244996,0.001,0.96678,0.99204,0.7885,0.8327888043880463,0.9515,0.9848
11,0.83736,0.6633495291137695,0.001,0.96786,0.99216,0.825,0.7047502534389496,0.9634,0.9909
12,0.83908,0.6516450238227844,0.001,0.96932,0.99216,0.772,0.9341407846927643,0.9453,0.9853
13,0.84856,0.6324800991058349,0.001,0.97192,0.99262,0.8146,0.7494061029911041,0.961,0.9917
14,0.85098,0.6219212784004211,0.001,0.97362,0.99424,0.8291,0.7011851716279983,0.967,0.9917
15,0.85284,0.6164489019584656,0.001,0.97368,0.99402,0.8394,0.6577158914327621,0.9692,0.9906
16,0.85772,0.6064413102149964,0.001,0.97534,0.99394,0.8254,0.7230921490192413,0.9626,0.989
17,0.86134,0.5972118696784973,0.001,0.97676,0.99454,0.8269,0.7128025980710984,0.9654,0.9903
18,0.86242,0.5909578347587585,0.001,0.97646,0.99514,0.8395,0.6679824057102204,0.9725,0.9928
19,0.86606,0.5837865941047669,0.001,0.97734,0.99466,0.832,0.6888109298229218,0.9695,0.992
20,0.8684,0.5795525492572784,0.001,0.97882,0.99506,0.8516,0.6362383212327957,0.9733,0.9927
21,0.8705,0.5768384943962097,0.001,0.97784,0.99528,0.8346,0.6982214492797851,0.9675,0.9904
22,0.87152,0.5709488228797912,0.001,0.97896,0.99544,0.8236,0.7390653294563293,0.9684,0.9925
23,0.87544,0.5611248578453064,0.001,0.97948,0.99546,0.8298,0.7057214919567109,0.9676,0.99
24,0.87646,0.5571499725914002,0.001,0.98094,0.99594,0.8519,0.637006112408638,0.9752,0.994
