epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.4989,1.6378945964050293,0.001,0.81124,0.92388,0.5993,1.3660044946670533,0.8765,0.9583
1,0.64138,1.2477636061096191,0.001,0.89326,0.96492,0.6239,1.3280189709186554,0.885,0.9584
2,0.69382,1.0922594006347657,0.001,0.91742,0.9744,0.7154,1.0508522180080413,0.9243,0.9776
3,0.73506,0.9823003783798218,0.001,0.9333,0.98048,0.7053,1.0927659825325011,0.9226,0.9768
4,0.75578,0.9196140285491944,0.001,0.94336,0.98372,0.7462,0.9786895564556122,0.9306,0.9783
5,0.77402,0.8694094643592835,0.001,0.94718,0.98522,0.7334,1.000911126470566,0.9395,0.986
6,0.78986,0.8275078179740906,0.001,0.9533,0.98728,0.756,0.9356391590595245,0.9432,0.9849
7,0.79832,0.8002801521301269,0.001,0.95752,0.9891,0.7401,0.9951303468227386,0.9263,0.9806
8,0.80522,0.77830556224823,0.001,0.95976,0.99006,0.7924,0.829686381816864,0.9534,0.9872
9,0.81384,0.7508186878013611,0.001,0.96398,0.9913,0.7833,0.8568639267921447,0.9489,0.9856
10,0.8212,0.7339189431762695,0.001,0.96418,0.99168,0.7962,0.815069583272934,0.9577,0.9892
11,0.8315,0.7094161000061036,0.001,0.96782,0.99198,0.8014,0.8090856306552887,0.9554,0.9897
12,0.83652,0.6966380625343322,0.001,0.9689,0.9917,0.8009,0.841275627374649,0.9497,0.9851
13,0.84002,0.6801622863578797,0.001,0.97146,0.9934,0.8173,0.7679987449645996,0.9608,0.9902
14,0.84556,0.6695014636802673,0.001,0.97322,0.99302,0.8163,0.7750254504203796,0.9653,0.9916
15,0.85092,0.6557432064056397,0.001,0.9733,0.99384,0.8182,0.748425749015808,0.9647,0.9919
16,0.8549,0.6443639814186096,0.001,0.97422,0.99388,0.8212,0.7662385002613068,0.9634,0.9888
17,0.85674,0.633751560497284,0.001,0.9758,0.99436,0.8103,0.7779379158496856,0.9652,0.992
18,0.85914,0.6263669897270203,0.001,0.97678,0.99512,0.8204,0.7798279200077057,0.9616,0.9897
19,0.86312,0.6174055988883972,0.001,0.97756,0.99508,0.8119,0.7956776909828186,0.9623,0.9909
20,0.86422,0.6141520236873627,0.001,0.97712,0.99502,0.8538,0.6595019704818725,0.9733,0.9929
21,0.86946,0.6020972164916992,0.001,0.97916,0.99534,0.8258,0.7490423533916474,0.9691,0.9924
22,0.87136,0.5966042137145996,0.001,0.9795,0.99568,0.8315,0.7253861959695816,0.97,0.9928
23,0.8718,0.5913491810798644,0.001,0.98044,0.99606,0.8283,0.763472580575943,0.9623,0.9898
24,0.87434,0.5877700828933716,0.001,0.97952,0.99592,0.8523,0.6844781449794769,0.9687,0.9921
25,0.87748,0.5795171787261962,0.0003162278,0.98118,0.9961,0.8308,0.7253278166294098,0.9701,0.9911
26,0.8792,0.5755844804382324,0.001,0.98172,0.99644,0.8488,0.6818009437084198,0.9709,0.9937
27,0.88032,0.570499016418457,0.001,0.98178,0.99628,0.8234,0.7856852205276489,0.961,0.9884
28,0.88216,0.5672296612358093,0.001,0.98274,0.99618,0.8302,0.7451483501672744,0.9651,0.989
29,0.88566,0.5604195524311065,0.001,0.98304,0.9967,0.837,0.7214119297504425,0.9687,0.9921
30,0.88674,0.5578208595657349,0.0003162278,0.98356,0.99652,0.8544,0.6759440909385681,0.9722,0.9941
31,0.88746,0.5532494776344299,0.001,0.98314,0.99674,0.8653,0.6395063614368439,0.9763,0.9959
32,0.88666,0.5518227428245545,0.001,0.98438,0.997,0.8151,0.80718385181427,0.9624,0.9899
33,0.8882,0.5505247931289673,0.001,0.98416,0.9968,0.8342,0.7368143863201141,0.9652,0.9919
34,0.89016,0.5472283990192414,0.001,0.98446,0.99684,0.8476,0.7002150218009948,0.9709,0.9916
35,0.89104,0.541806068687439,0.001,0.98442,0.997,0.7879,0.9461343791961669,0.9466,0.9832
36,0.89362,0.5386077588081359,0.0003162278,0.98482,0.99682,0.8547,0.6714415767192841,0.9758,0.9948
37,0.8914,0.5377892720222474,0.001,0.9855,0.99698,0.807,0.8592151060581207,0.9588,0.9879
38,0.8936,0.5328196577262878,0.001,0.98544,0.99672,0.8307,0.787313322687149,0.9676,0.9939
39,0.89522,0.5338277137374878,0.001,0.98516,0.99694,0.8577,0.6817653893947602,0.9755,0.9944
40,0.89902,0.5239121729469299,0.001,0.98636,0.99756,0.8365,0.7707361681938172,0.964,0.9876
41,0.89638,0.5272409058475495,0.0003162278,0.98574,0.99722,0.8141,0.8209859811306,0.9618,0.9896
42,0.89796,0.5226492722320557,0.001,0.98616,0.99774,0.8432,0.7280971880912781,0.9702,0.992
43,0.89866,0.5240918597221375,0.001,0.98666,0.99742,0.858,0.6556744646549225,0.9746,0.9943
44,0.90192,0.513975448436737,0.001,0.98672,0.99744,0.8135,0.8698241395950317,0.9573,0.9878
45,0.89868,0.519627201757431,0.001,0.9873,0.99718,0.8496,0.694930350780487,0.9698,0.9914
46,0.90152,0.5167490647602081,0.0003162278,0.98656,0.99716,0.8352,0.7416637146472931,0.9683,0.9914
47,0.90172,0.5136681267166138,0.001,0.98652,0.99776,0.8585,0.6685865689277649,0.9768,0.9957
48,0.9009,0.513166374387741,0.001,0.98784,0.99788,0.8625,0.644145840716362,0.9746,0.9945
49,0.90188,0.5115105863761902,0.001,0.9871,0.99728,0.8323,0.7630074486255646,0.965,0.9921
50,0.90476,0.5058782440090179,0.001,0.98738,0.9978,0.8523,0.6821235391616821,0.9757,0.9946
51,0.90536,0.5041428906345368,0.0003162278,0.988,0.99796,0.8436,0.7474267841339112,0.9661,0.9885
52,0.9039,0.507859128856659,0.001,0.98722,0.99744,0.8278,0.7841381707668305,0.9624,0.9878
53,0.90512,0.5060125093746185,0.001,0.98766,0.99772,0.8541,0.7214705388784408,0.9733,0.9934
54,0.90622,0.5019123122406006,0.001,0.9879,0.99784,0.8458,0.7108167462825775,0.9733,0.9929
55,0.90822,0.4997307169342041,0.001,0.98718,0.99746,0.8102,0.8529276332378387,0.9585,0.9912
56,0.90852,0.49585618724823,0.0003162278,0.98846,0.9982,0.8657,0.648090621972084,0.9744,0.9944
57,0.90862,0.49611112277030944,0.001,0.98852,0.9979,0.8425,0.7258889591217041,0.9706,0.9931
58,0.90864,0.4965360754299164,0.001,0.98868,0.99782,0.8389,0.7633095937490463,0.9683,0.9909
59,0.90928,0.4915184823989868,0.001,0.98848,0.99788,0.8252,0.8304596419334411,0.9579,0.9901
60,0.9098,0.49051785039901735,0.001,0.98848,0.99754,0.8563,0.6805962030410767,0.9744,0.992
61,0.909,0.4886420691871643,0.0003162278,0.9894,0.99802,0.8535,0.7097580879688263,0.9653,0.9896
62,0.9091,0.4928696877479553,0.001,0.98872,0.99784,0.8645,0.6574240518808365,0.9731,0.9928
63,0.90962,0.49042887742996216,0.001,0.98936,0.99806,0.8594,0.7098097440719604,0.9721,0.9934
64,0.9109,0.49032064771652223,0.001,0.9892,0.99822,0.8642,0.6381301177024842,0.9765,0.9964
65,0.91104,0.48487003173828125,0.001,0.98996,0.99806,0.8591,0.6788537569522858,0.9758,0.9934
66,0.91076,0.4900056975746155,0.001,0.9885,0.99802,0.8553,0.6951458779335022,0.9752,0.9948
67,0.9129,0.48150575377464294,0.001,0.98988,0.99792,0.8074,0.8638858558654785,0.9624,0.9929
68,0.91132,0.48205558994293213,0.001,0.98966,0.99788,0.8306,0.7679440690040589,0.9676,0.9934
69,0.91208,0.4841342624855042,0.0003162278,0.98914,0.99792,0.8485,0.6980839232206345,0.9722,0.9914
70,0.9128,0.47966033228874205,0.001,0.9897,0.99808,0.8546,0.6943731698036194,0.9708,0.9929
71,0.91356,0.4779446362876892,0.001,0.98952,0.99806,0.8184,0.8296950381278991,0.9662,0.9919
72,0.91234,0.4805873058986664,0.001,0.9895,0.99792,0.8172,0.8406791609764099,0.9578,0.9877
73,0.91152,0.4830652408885956,0.001,0.98844,0.99804,0.8445,0.7134682229757309,0.9721,0.9935
74,0.91314,0.4786166431808472,0.001,0.99034,0.99794,0.8808,0.6064598549604416,0.98,0.996
75,0.9145,0.47627823698043825,0.001,0.98988,0.9982,0.8467,0.7435483508825302,0.9691,0.9906
76,0.91418,0.4762565488433838,0.001,0.98944,0.99792,0.8162,0.8550622932434082,0.9505,0.9856
77,0.91474,0.47344966331481936,0.001,0.9901,0.99814,0.8621,0.6711175935268402,0.9738,0.9926
78,0.91516,0.473244180059433,0.001,0.99042,0.99832,0.8671,0.651292917060852,0.9756,0.9937
79,0.91516,0.4746989306926727,0.0003162278,0.98986,0.99808,0.868,0.6524023923635482,0.9736,0.9924
80,0.916,0.4704781734085083,0.001,0.99044,0.9982,0.8691,0.6600957748889923,0.9775,0.9936
