epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.49132,1.5691488564682008,0.001,0.81164,0.92478,0.5291,1.4950370176315309,0.8533,0.9502
1,0.61872,1.2294932559204101,0.001,0.88454,0.96198,0.6673,1.0958696581840515,0.9091,0.9714
2,0.67792,1.0707996906661987,0.001,0.91282,0.9738,0.7031,1.0182553291320802,0.9194,0.9738
3,0.7185,0.9670867186927795,0.001,0.92824,0.97882,0.6855,1.1241436975479127,0.9193,0.9737
4,0.74824,0.8901237585449219,0.001,0.94014,0.98306,0.7591,0.8893164161443711,0.9406,0.9821
5,0.76502,0.8425243190956115,0.001,0.94608,0.98496,0.7776,0.8146277054309845,0.9492,0.9871
6,0.78466,0.7963848299789429,0.001,0.95142,0.98748,0.7834,0.7961635956764221,0.954,0.9887
7,0.79532,0.7617615962219239,0.001,0.95778,0.98878,0.7848,0.8208365343093872,0.9502,0.9855
8,0.80708,0.7366781085586548,0.001,0.95962,0.98916,0.778,0.8442511254787445,0.954,0.9886
9,0.81508,0.7138574514961242,0.001,0.96258,0.9903,0.8114,0.7387099229812623,0.9598,0.9904
10,0.82306,0.6954317531394959,0.001,0.96428,0.99116,0.8053,0.7651649577140808,0.9637,0.9891
11,0.82932,0.6799772872924804,0.001,0.9662,0.9912,0.8165,0.7439441031932831,0.9573,0.9878
12,0.83342,0.663642121105194,0.001,0.9697,0.99268,0.8114,0.7407463998794556,0.9629,0.9906
13,0.83914,0.6520750172615051,0.001,0.9704,0.9934,0.7961,0.7898333546876908,0.9577,0.9903
14,0.84502,0.6388039710998535,0.001,0.97198,0.99342,0.8146,0.7364888200521469,0.9606,0.9883
15,0.8485,0.6267365476226807,0.001,0.97356,0.99364,0.8206,0.7297134545087814,0.9644,0.9897
16,0.85018,0.6241417199516296,0.001,0.975,0.99434,0.8174,0.7512550886631012,0.9602,0.9898
17,0.85524,0.6119076694869995,0.001,0.97446,0.9948,0.8281,0.715253081703186,0.9638,0.9901
18,0.8584,0.6055256723880768,0.001,0.97552,0.99418,0.8336,0.6978915237188339,0.9673,0.9925
19,0.8602,0.5977896868515015,0.001,0.9761,0.99454,0.8321,0.7025907231092453,0.9648,0.9907
20,0.86328,0.5909887466621399,0.001,0.97714,0.99502,0.8065,0.8154932928800583,0.9549,0.987
21,0.8651,0.588096676826477,0.001,0.978,0.99506,0.8279,0.7122034090995789,0.9696,0.9915
22,0.86642,0.5834308718299865,0.001,0.97846,0.99524,0.7972,0.8738771770954132,0.954,0.9869
23,0.87198,0.5709288979148864,0.0003162278,0.98032,0.99562,0.8288,0.7214779942989349,0.9684,0.9908
24,0.87084,0.5696392617034912,0.001,0.97974,0.99558,0.8483,0.6598981664657593,0.9718,0.9926
25,0.87506,0.5663513173007965,0.001,0.97958,0.99564,0.8244,0.7345646364212036,0.9612,0.9916
26,0.87544,0.5594468525123596,0.001,0.98136,0.99586,0.8317,0.6950286565065384,0.9684,0.9932
27,0.87702,0.5608959188461303,0.001,0.98074,0.9956,0.8282,0.7150201029539108,0.9715,0.9927
28,0.87656,0.5556968515586853,0.001,0.98168,0.99642,0.8469,0.6576018850803376,0.9696,0.9912
29,0.8802,0.5519576550865173,0.001,0.9818,0.99632,0.8384,0.7010274093151092,0.9699,0.992
30,0.88058,0.5493481273460388,0.001,0.98148,0.99606,0.8148,0.7645021322250366,0.9598,0.9912
31,0.88002,0.5482791994094849,0.001,0.98274,0.99636,0.8251,0.739645530462265,0.9627,0.9869
32,0.88488,0.5405006119155884,0.001,0.98328,0.99622,0.847,0.675648699426651,0.9742,0.9944
33,0.88394,0.5396765375328064,0.001,0.98214,0.99646,0.853,0.6319717949151993,0.9734,0.9918
34,0.88432,0.5391540609931946,0.001,0.98302,0.99644,0.831,0.7233636342525482,0.9684,0.9931
