epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.30642,3.2711150289916993,0.001,0.65102,0.82952,0.4308,2.5404455924987794,0.7686,0.9049
1,0.46756,2.3065660374450685,0.001,0.79548,0.9184,0.5285,2.070923672103882,0.8234,0.9292
2,0.56236,1.8582073777008057,0.001,0.85288,0.94678,0.5801,1.800203015422821,0.8439,0.9457
3,0.63504,1.5524901391983033,0.001,0.88862,0.96292,0.5677,1.7741029659271241,0.8395,0.939
4,0.67708,1.352963844833374,0.001,0.9091,0.97214,0.6618,1.3968334137916565,0.9005,0.9664
5,0.71142,1.2132235776901246,0.001,0.92426,0.97618,0.6295,1.443032920742035,0.8994,0.9653
6,0.73492,1.1161238956832886,0.001,0.93274,0.98058,0.6842,1.3005983361244202,0.9001,0.966
7,0.75184,1.04622154460907,0.001,0.93924,0.98202,0.6569,1.4093595752239227,0.9145,0.9757
8,0.76714,0.9872201090621948,0.001,0.94478,0.9838,0.6404,1.419281351184845,0.8767,0.9575
9,0.78126,0.9398937086677551,0.001,0.9506,0.98634,0.7646,1.021646789264679,0.9375,0.9794
10,0.79424,0.90015829580307,0.001,0.95428,0.98784,0.7228,1.1215405020713807,0.931,0.9797
11,0.80212,0.868685966243744,0.001,0.95672,0.98882,0.6877,1.2196577893257141,0.9065,0.9662
12,0.80876,0.8383044338607788,0.001,0.9591,0.98896,0.7571,1.0107238604545594,0.9464,0.9851
13,0.81992,0.8087355089187622,0.001,0.96314,0.99076,0.723,1.1841085003852845,0.9273,0.9764
14,0.8256,0.7864450469779968,0.001,0.96516,0.9914,0.7779,0.9465650099277496,0.9487,0.9843
15,0.83118,0.7668800302124024,0.001,0.9662,0.9921,0.7063,1.1974800615310668,0.9102,0.9662
16,0.83586,0.7487849659729003,0.001,0.96886,0.99272,0.7737,0.9652210816860199,0.9475,0.9834
17,0.8411,0.7312621108818054,0.001,0.96962,0.99236,0.7443,1.0691478830814363,0.9422,0.9833
18,0.84732,0.7120805197143555,0.001,0.97238,0.9935,0.7988,0.8760407260894776,0.9557,0.9895
19,0.85028,0.7056824906730652,0.001,0.97202,0.99292,0.7703,1.0102745717525483,0.9315,0.9738
20,0.85494,0.6886743219375611,0.001,0.9739,0.99352,0.7682,0.9620517967224121,0.9573,0.9889
21,0.85708,0.6853076078033448,0.001,0.97396,0.99372,0.8024,0.8551562698841095,0.9626,0.9925
22,0.86012,0.6721060190963745,0.001,0.97694,0.9938,0.7104,1.3631470536231995,0.8879,0.9518
23,0.86566,0.6582434490203858,0.001,0.97652,0.99474,0.7557,1.0262291984558105,0.9422,0.9828
24,0.86444,0.652606674041748,0.001,0.97932,0.99528,0.7384,1.0984800971508026,0.9119,0.968
25,0.87078,0.6422716767501832,0.001,0.97762,0.99528,0.761,0.9721991230487823,0.931,0.9752
26,0.8719,0.6346905179214477,0.001,0.98036,0.99528,0.8127,0.8320086996078491,0.9626,0.9908
27,0.874,0.6336544109344482,0.001,0.97856,0.99574,0.8073,0.8451320407867432,0.957,0.9843
28,0.87568,0.6226079556083679,0.001,0.97958,0.99542,0.763,1.0221117736816405,0.9391,0.9791
29,0.87904,0.6135846409797668,0.001,0.98048,0.99562,0.6839,1.3784691712856292,0.9076,0.9687
30,0.87914,0.6074493446063995,0.001,0.98184,0.99624,0.8384,0.7430148348808289,0.9693,0.9925
31,0.8813,0.6055639504623413,0.001,0.9814,0.9957,0.8171,0.8047040405273438,0.9563,0.986
32,0.88398,0.597192243309021,0.001,0.98296,0.9964,0.8281,0.7747213539600373,0.9691,0.992
33,0.88438,0.593557496509552,0.001,0.98132,0.99604,0.7878,0.9412808375835419,0.9531,0.9874
34,0.88576,0.593934167804718,0.001,0.98228,0.99598,0.7924,0.9093989837169647,0.9507,0.9838
35,0.88744,0.5863755081939698,0.0003162278,0.98318,0.9966,0.7731,1.1025539863109588,0.9195,0.9786
36,0.8898,0.5782105865859986,0.001,0.98258,0.99636,0.8115,0.8544358881473542,0.955,0.9862
37,0.89042,0.5734975230693817,0.001,0.98376,0.9969,0.834,0.7752177589416503,0.9607,0.9899
38,0.89252,0.5709177611541748,0.001,0.98468,0.9971,0.7323,1.2086907730579377,0.9233,0.9751
39,0.89288,0.570907276878357,0.001,0.98452,0.99666,0.8303,0.7589717799186707,0.9665,0.9924
40,0.89528,0.562706133518219,0.0003162278,0.98462,0.99686,0.8364,0.7677199620246887,0.9574,0.9863
41,0.89602,0.5596274659442901,0.001,0.98592,0.9971,0.8078,0.85636531291008,0.9557,0.9867
42,0.89504,0.5603709280395508,0.001,0.985,0.99748,0.621,1.8109971561431886,0.8685,0.9442
43,0.89712,0.5529231966781616,0.001,0.98646,0.99684,0.8003,0.879596146774292,0.9527,0.9827
44,0.89556,0.5535028988742828,0.001,0.98532,0.99672,0.83,0.8094714504241943,0.963,0.9898
45,0.89976,0.5448860685920716,0.0003162278,0.98608,0.99726,0.8218,0.8294864721775055,0.9629,0.9898
46,0.90058,0.5460165301895141,0.001,0.98622,0.99694,0.7965,0.9558421043395996,0.9462,0.9786
47,0.90144,0.543659614238739,0.001,0.9865,0.9972,0.819,0.8460609046936035,0.9601,0.9889
48,0.90084,0.5427908637523651,0.001,0.98666,0.99736,0.7988,0.9268587762832642,0.956,0.9902
49,0.90266,0.5374250491523742,0.001,0.98708,0.99744,0.8021,0.8598055995941162,0.9608,0.989
