epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.47892,2.698020845794678,0.001,0.80304,0.92344,0.5817,1.769231792831421,0.8634,0.9465
1,0.59556,1.603465181541443,0.001,0.87518,0.95884,0.6087,1.5434538133621216,0.8615,0.9567
2,0.65234,1.3705607987594604,0.001,0.90072,0.96926,0.6579,1.3322337670326232,0.908,0.9718
3,0.691,1.2299197801971435,0.001,0.91898,0.97596,0.6585,1.3469802200317382,0.897,0.966
4,0.72376,1.12228375831604,0.001,0.93254,0.98142,0.705,1.1844982248306275,0.9297,0.981
5,0.74764,1.0419486711502075,0.001,0.9402,0.98404,0.722,1.1062904876708985,0.937,0.9826
6,0.76352,0.9830187754821778,0.001,0.94826,0.98512,0.7023,1.228410186290741,0.9224,0.9726
7,0.77986,0.9269471533584595,0.001,0.95142,0.98742,0.7383,1.098405997276306,0.9398,0.9825
8,0.79254,0.8826133112335205,0.001,0.95658,0.98878,0.713,1.1429813474178314,0.9348,0.9824
9,0.8028,0.8431628039550781,0.001,0.9595,0.98896,0.7424,1.060570234298706,0.9284,0.9842
10,0.81084,0.8156699555969238,0.001,0.96146,0.99092,0.6445,1.5146630001068115,0.8977,0.9596
11,0.81944,0.790555017709732,0.001,0.96298,0.99136,0.741,1.0557723284721374,0.9409,0.9864
12,0.82416,0.7645935300445557,0.001,0.96694,0.99158,0.7415,1.0153748706817627,0.9368,0.9854
13,0.82898,0.7457517530822754,0.001,0.9677,0.99196,0.7514,1.0603396203517914,0.9484,0.9838
14,0.83546,0.726105571899414,0.001,0.9687,0.99224,0.7189,1.240067545747757,0.9181,0.9737
15,0.84,0.7111294176101685,0.001,0.97132,0.99378,0.6528,1.5413131874084474,0.9159,0.9712
16,0.84498,0.6919765489959717,0.001,0.9727,0.99368,0.7865,0.912099990606308,0.954,0.9867
17,0.8495,0.6765815607070923,0.001,0.97354,0.99348,0.7742,0.9762677523851395,0.9527,0.9887
18,0.85352,0.6681068865966797,0.001,0.97476,0.9943,0.7756,0.9218592210292816,0.955,0.9876
19,0.85894,0.647954443950653,0.001,0.97578,0.99438,0.7472,1.0635254457473755,0.9299,0.9805
20,0.85844,0.6434336214828491,0.001,0.9767,0.99466,0.7363,1.1368653013706207,0.9469,0.988
21,0.86312,0.6333510889053344,0.001,0.97742,0.99484,0.8195,0.7589990838050842,0.9639,0.9912
22,0.86482,0.6225486786079407,0.001,0.97872,0.99534,0.83,0.7277716955661774,0.9713,0.9935
23,0.86702,0.6166050649642945,0.001,0.97796,0.99534,0.8261,0.76746111369133,0.9659,0.9901
24,0.87068,0.6047817902374267,0.001,0.97934,0.99554,0.7742,0.9678021944999695,0.9435,0.9836
25,0.87192,0.6004131098365784,0.001,0.97948,0.99546,0.7876,0.9245388664007187,0.9597,0.9898
26,0.87612,0.5874932285690307,0.001,0.98016,0.99602,0.8057,0.8437721678256989,0.954,0.9887
27,0.87862,0.5796539983749389,0.0003162278,0.98148,0.99616,0.7979,0.8879931406259537,0.956,0.9904
28,0.87782,0.5762968580245972,0.001,0.98138,0.9962,0.7694,0.9924100295543671,0.954,0.9902
29,0.87896,0.5711543460464478,0.001,0.98148,0.99622,0.8195,0.7370510956764221,0.9675,0.9925
30,0.88194,0.5621792156982421,0.001,0.98292,0.99658,0.7875,0.9823295385360717,0.9604,0.9873
31,0.8829,0.5594639187431335,0.001,0.98334,0.9967,0.7667,1.0039549078464507,0.9539,0.9886
32,0.88432,0.5585167862319946,0.001,0.98246,0.99664,0.8515,0.685269425201416,0.9743,0.9931
33,0.88874,0.5457054713439942,0.001,0.98394,0.99668,0.8687,0.6183141247034073,0.9787,0.9948
34,0.8893,0.5398937614059448,0.001,0.98362,0.99696,0.7966,0.8393722885131836,0.9597,0.9887
35,0.88996,0.5425247266387939,0.001,0.98412,0.99726,0.8493,0.6803750378847122,0.973,0.9925
36,0.89062,0.5354000184249877,0.001,0.98412,0.99656,0.851,0.6779630557060242,0.9692,0.9912
37,0.8943,0.5261821012496948,0.001,0.98454,0.99726,0.8444,0.7104728931903839,0.9666,0.9896
38,0.8936,0.526836502275467,0.0003162278,0.9851,0.9969,0.84,0.7247186252117157,0.9734,0.9934
39,0.89416,0.5257601984786987,0.001,0.98548,0.99704,0.8073,0.8571187983989715,0.9642,0.9905
40,0.89578,0.5198781674289703,0.001,0.98626,0.99728,0.8361,0.7279133386611939,0.9693,0.9917
41,0.89756,0.5093392681312561,0.001,0.98632,0.99752,0.8102,0.852122215294838,0.9545,0.987
42,0.89914,0.5133426142120361,0.001,0.98594,0.99726,0.8423,0.7595306630611419,0.9691,0.9918
43,0.89714,0.5117636802291871,0.0003162278,0.98674,0.99744,0.8617,0.6525501320123672,0.9752,0.9945
44,0.89916,0.5086571818447113,0.001,0.9867,0.99744,0.7941,0.9036668502807618,0.9389,0.978
45,0.90138,0.5026244930362701,0.001,0.9868,0.99766,0.818,0.8288223013877869,0.966,0.9925
46,0.90082,0.5013917793369294,0.001,0.9873,0.99756,0.8376,0.7340499014616012,0.9695,0.9931
47,0.90108,0.5008283463287353,0.001,0.98722,0.9978,0.8689,0.6161882582187652,0.9775,0.9947
48,0.90256,0.4947475206851959,0.001,0.98748,0.9976,0.8509,0.6818402804613113,0.9753,0.9949
49,0.9021,0.4988640172100067,0.001,0.9873,0.9976,0.845,0.7032359279632568,0.9706,0.9931
