epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.4971,1.7210206984710694,0.001,0.81024,0.92392,0.5697,1.534894128227234,0.8669,0.9545
1,0.64842,1.2942569465446472,0.001,0.89764,0.9673,0.6611,1.2817651857376098,0.8898,0.964
2,0.70334,1.1210359396743774,0.001,0.9222,0.97658,0.6067,1.5609777092933654,0.8584,0.9547
3,0.73446,1.0220979080963135,0.001,0.93326,0.98198,0.7295,1.0812471281528473,0.924,0.9787
4,0.75968,0.9471686567878723,0.001,0.94252,0.98412,0.7481,1.0026586722850799,0.9292,0.9765
5,0.77282,0.8963785715866089,0.001,0.94814,0.9859,0.7401,1.0303891780376435,0.927,0.9789
6,0.78968,0.8518657955551148,0.001,0.95404,0.98754,0.7123,1.1392878699302673,0.9013,0.9632
7,0.80104,0.8203634083557129,0.001,0.95648,0.9897,0.7849,0.8737018235683441,0.9528,0.9852
8,0.80896,0.7881078241729736,0.001,0.9609,0.99018,0.7834,0.8931140177249909,0.9483,0.9812
9,0.81894,0.762888653049469,0.001,0.9636,0.9908,0.805,0.8093402444839477,0.9595,0.9892
10,0.82672,0.7415009850883484,0.001,0.96604,0.99094,0.7693,0.909975200176239,0.9497,0.9862
11,0.83286,0.7216716817569733,0.001,0.96678,0.99228,0.7348,1.1388526978492737,0.916,0.9682
12,0.8387,0.7056046239471435,0.001,0.96984,0.9925,0.7069,1.1736401250839232,0.9318,0.9805
13,0.84392,0.6885024137306214,0.001,0.97168,0.99304,0.7988,0.8379974494457245,0.9556,0.9909
14,0.84998,0.6713762019538879,0.001,0.9728,0.99336,0.8244,0.758295304775238,0.9615,0.9917
15,0.85232,0.6648885137748718,0.001,0.97396,0.9935,0.8077,0.817307071018219,0.9643,0.9911
16,0.85774,0.652588969669342,0.001,0.97498,0.99428,0.8193,0.773432183790207,0.9615,0.9906
17,0.86236,0.6385898974990845,0.001,0.9756,0.99454,0.8141,0.7871784244537353,0.9608,0.99
18,0.86402,0.6317741052627563,0.001,0.97636,0.99434,0.826,0.7595572386264801,0.9607,0.9889
19,0.86836,0.6207704043960571,0.0003162278,0.97848,0.9952,0.8017,0.8567399705886841,0.9556,0.9911
20,0.8702,0.6146047032737731,0.001,0.97896,0.99536,0.7972,0.8731132374763488,0.956,0.9863
21,0.87402,0.6061145747756957,0.001,0.9809,0.99596,0.8388,0.722697833108902,0.9653,0.9893
22,0.87594,0.5968519076919556,0.001,0.98006,0.9957,0.8352,0.7556517575263977,0.9606,0.9876
23,0.87846,0.5886468603515626,0.001,0.98094,0.99568,0.8276,0.786320686674118,0.9613,0.9895
24,0.87926,0.5880377943325042,0.001,0.98064,0.99606,0.8282,0.7720590331554413,0.9655,0.9909
25,0.8812,0.5822002859783173,0.001,0.9824,0.9963,0.7973,0.8771195680141449,0.9566,0.9912
26,0.88312,0.5763991502571106,0.0003162278,0.98124,0.99612,0.8004,0.8738057388305664,0.9543,0.9876
27,0.8873,0.5681697578334808,0.001,0.9834,0.99622,0.8186,0.8173999033927918,0.9563,0.9879
28,0.88686,0.5686694157409667,0.001,0.98246,0.9961,0.8257,0.7750188398361206,0.9666,0.9909
29,0.8882,0.5612706175231934,0.001,0.98328,0.9961,0.7945,0.8858725578784943,0.9561,0.9874
30,0.89026,0.5575964095497131,0.001,0.983,0.99634,0.8258,0.7886055645942688,0.9634,0.9907
31,0.89114,0.5566908423137665,0.0003162278,0.9834,0.9962,0.8083,0.833381266450882,0.9633,0.9905
32,0.89126,0.55236922372818,0.001,0.98434,0.99658,0.8543,0.6776054695129394,0.97,0.992
33,0.8936,0.5488704444694519,0.001,0.98534,0.99688,0.8431,0.7178051790237426,0.9674,0.9912
34,0.89442,0.5452919701385498,0.001,0.98426,0.99664,0.8226,0.803334540605545,0.9662,0.9917
35,0.89546,0.5411791472148896,0.001,0.98522,0.99712,0.8163,0.824303630399704,0.9657,0.9899
36,0.8974,0.5333413880538941,0.001,0.98608,0.99698,0.8333,0.7728035607337952,0.9668,0.9915
37,0.89888,0.5320449127960205,0.0003162278,0.98628,0.99718,0.8475,0.7094342786312103,0.9672,0.9894
38,0.89834,0.5295229828166962,0.001,0.98544,0.99698,0.8332,0.7467519072532653,0.974,0.9946
39,0.9002,0.5275640520858764,0.001,0.98676,0.99698,0.8564,0.6814496522903443,0.9725,0.994
40,0.9013,0.5273847231006622,0.001,0.98654,0.99712,0.8322,0.7604228309631348,0.9659,0.9901
