epoch,acc,loss,lr,top3_acc,top_k_categorical_accuracy,val_acc,val_loss,val_top3_acc,val_top_k_categorical_accuracy
0,0.50102,1.5438736430358886,0.001,0.81342,0.92626,0.6191,1.2406677856445312,0.8815,0.9586
1,0.63796,1.1832295761489868,0.001,0.89424,0.96484,0.6582,1.1357745849609375,0.9041,0.9706
2,0.69878,1.0250137091827392,0.001,0.9193,0.97592,0.7124,0.9897092099666596,0.9241,0.9769
3,0.73338,0.9317440790748596,0.001,0.9333,0.98048,0.6945,1.0936657878398894,0.9194,0.9749
4,0.75688,0.8629863034629822,0.001,0.94502,0.98476,0.7241,1.0317885652065277,0.9286,0.9749
5,0.77788,0.8146742267608642,0.001,0.94996,0.98666,0.7827,0.8099808038711548,0.9518,0.986
6,0.78854,0.780110904750824,0.001,0.95446,0.98758,0.7897,0.7961579236507416,0.9532,0.9862
7,0.80214,0.7462811732673645,0.001,0.958,0.98928,0.779,0.837024831700325,0.9452,0.9822
8,0.8126,0.7234305269432068,0.001,0.96114,0.99,0.7988,0.7741792432308197,0.955,0.9889
9,0.81906,0.706515041847229,0.001,0.9625,0.9908,0.791,0.7865995383262634,0.9584,0.9891
10,0.8278,0.6857302661514282,0.001,0.9655,0.99122,0.8221,0.6972667220115661,0.9656,0.9924
11,0.83006,0.6736408333396912,0.001,0.9671,0.99114,0.7996,0.7730762694835663,0.9578,0.9905
12,0.8371,0.6546098709869385,0.001,0.96886,0.99236,0.7966,0.778349599981308,0.9587,0.9895
13,0.84182,0.6450129387283325,0.001,0.97046,0.99344,0.8238,0.694550065255165,0.9646,0.9925
14,0.84942,0.6275490013122559,0.001,0.97268,0.99352,0.8211,0.7261871304035187,0.9644,0.9912
15,0.85356,0.6168558834266663,0.001,0.97454,0.9937,0.805,0.8040714703559876,0.9568,0.9889
16,0.8555,0.6090033325767517,0.001,0.97492,0.99414,0.8226,0.7253935276031495,0.9621,0.9898
17,0.85676,0.6071726066303254,0.001,0.97526,0.99422,0.7935,0.8587008878231048,0.9585,0.9887
18,0.86016,0.5972652806663513,0.0003162278,0.9767,0.99468,0.8286,0.7341481895446778,0.9627,0.9897
